"TIME","GEO","UNIT","CRIM","Value","Flag and Footnotes"
"2001","Belgium","Number","Total","948,268",""
"2001","Belgium","Number","Homicide","282",""
"2001","Belgium","Number","Violent crime","102,701",""
"2001","Belgium","Number","Robbery","28,709",""
"2001","Belgium","Number","Domestic burglary","77,259",""
"2001","Belgium","Number","Motor vehicle theft","49,672",""
"2001","Belgium","Number","Drug trafficking","9,296",""
"2001","Bulgaria","Number","Total","147,022",""
"2001","Bulgaria","Number","Homicide","308",""
"2001","Bulgaria","Number","Violent crime","10,950",""
"2001","Bulgaria","Number","Robbery","4,069",""
"2001","Bulgaria","Number","Domestic burglary","36,269",""
"2001","Bulgaria","Number","Motor vehicle theft","2,076",""
"2001","Bulgaria","Number","Drug trafficking","1,487",""
"2001","Czech Republic","Number","Total","358,577",""
"2001","Czech Republic","Number","Homicide","157",""
"2001","Czech Republic","Number","Violent crime","22,017",""
"2001","Czech Republic","Number","Robbery","4,321",""
"2001","Czech Republic","Number","Domestic burglary","10,590",""
"2001","Czech Republic","Number","Motor vehicle theft","23,539",""
"2001","Czech Republic","Number","Drug trafficking","4,052",""
"2001","Denmark","Number","Total","473,290",""
"2001","Denmark","Number","Homicide","62",""
"2001","Denmark","Number","Violent crime","18,081",""
"2001","Denmark","Number","Robbery","5,872",""
"2001","Denmark","Number","Domestic burglary","32,274",""
"2001","Denmark","Number","Motor vehicle theft","37,444",""
"2001","Denmark","Number","Drug trafficking","2,553",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Total","6,363,865",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Homicide","925",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Violent crime","188,413",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Robbery","57,108",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Domestic burglary","133,722",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Motor vehicle theft","121,533",""
"2001","Germany (until 1990 former territory of the FRG)","Number","Drug trafficking","79,787",""
"2001","Estonia","Number","Total","58,497",""
"2001","Estonia","Number","Homicide","137",""
"2001","Estonia","Number","Violent crime","643",""
"2001","Estonia","Number","Robbery","4,475",""
"2001","Estonia","Number","Domestic burglary","7,652",""
"2001","Estonia","Number","Motor vehicle theft","2,818",""
"2001","Estonia","Number","Drug trafficking","628",""
"2001","Ireland","Number","Total","86,633",""
"2001","Ireland","Number","Homicide","58",""
"2001","Ireland","Number","Violent crime","8,548",""
"2001","Ireland","Number","Robbery","1,744",""
"2001","Ireland","Number","Domestic burglary","14,877",""
"2001","Ireland","Number","Motor vehicle theft","14,710",""
"2001","Ireland","Number","Drug trafficking","2,198",""
"2001","Greece","Number","Total","439,629",""
"2001","Greece","Number","Homicide","132",""
"2001","Greece","Number","Violent crime","9,501",""
"2001","Greece","Number","Robbery","1,735",""
"2001","Greece","Number","Domestic burglary","31,903",""
"2001","Greece","Number","Motor vehicle theft","5,700",""
"2001","Greece","Number","Drug trafficking","9,820",""
"2001","Spain","Number","Total","2,052,492",""
"2001","Spain","Number","Homicide","577",""
"2001","Spain","Number","Violent crime","121,094",""
"2001","Spain","Number","Robbery","106,491",""
"2001","Spain","Number","Domestic burglary","99,066",""
"2001","Spain","Number","Motor vehicle theft","158,898",""
"2001","Spain","Number","Drug trafficking","12,160",""
"2001","France","Number","Total","4,061,792",""
"2001","France","Number","Homicide","1,046",""
"2001","France","Number","Violent crime","279,324",""
"2001","France","Number","Robbery","134,281",""
"2001","France","Number","Domestic burglary","210,850",""
"2001","France","Number","Motor vehicle theft","418,983",""
"2001","France","Number","Drug trafficking","4,047",""
"2001","France (metropolitan)","Number","Total","4,061,792",""
"2001","France (metropolitan)","Number","Homicide","1,046",""
"2001","France (metropolitan)","Number","Violent crime","279,324",""
"2001","France (metropolitan)","Number","Robbery","134,281",""
"2001","France (metropolitan)","Number","Domestic burglary","210,850",""
"2001","France (metropolitan)","Number","Motor vehicle theft","418,983",""
"2001","France (metropolitan)","Number","Drug trafficking","4,047",""
"2001","Croatia","Number","Total","78,351",""
"2001","Croatia","Number","Homicide","86",""
"2001","Croatia","Number","Violent crime","7,584",""
"2001","Croatia","Number","Robbery","801",""
"2001","Croatia","Number","Domestic burglary","4,037",""
"2001","Croatia","Number","Motor vehicle theft","2,222",""
"2001","Croatia","Number","Drug trafficking","8,609",""
"2001","Italy","Number","Total","2,163,826",""
"2001","Italy","Number","Homicide","765",""
"2001","Italy","Number","Violent crime","107,032",""
"2001","Italy","Number","Robbery","66,671",""
"2001","Italy","Number","Domestic burglary","183,496",""
"2001","Italy","Number","Motor vehicle theft","235,946",""
"2001","Italy","Number","Drug trafficking","36,045",""
"2001","Cyprus","Number","Total","4,506",""
"2001","Cyprus","Number","Homicide","7",""
"2001","Cyprus","Number","Violent crime","200",""
"2001","Cyprus","Number","Robbery","39",""
"2001","Cyprus","Number","Domestic burglary","792",""
"2001","Cyprus","Number","Motor vehicle theft","1,441",""
"2001","Cyprus","Number","Drug trafficking","397",""
"2001","Latvia","Number","Total","51,082",""
"2001","Latvia","Number","Homicide","214",""
"2001","Latvia","Number","Violent crime","3,761",""
"2001","Latvia","Number","Robbery","3,059",""
"2001","Latvia","Number","Domestic burglary","5,439",""
"2001","Latvia","Number","Motor vehicle theft","2,769",""
"2001","Latvia","Number","Drug trafficking","830",""
"2001","Lithuania","Number","Total","79,265",""
"2001","Lithuania","Number","Homicide","377",""
"2001","Lithuania","Number","Violent crime","5,144",""
"2001","Lithuania","Number","Robbery","4,185",""
"2001","Lithuania","Number","Domestic burglary","8,647",""
"2001","Lithuania","Number","Motor vehicle theft","6,626",""
"2001","Lithuania","Number","Drug trafficking","165",""
"2001","Luxembourg","Number","Total","22,646",""
"2001","Luxembourg","Number","Homicide","6",""
"2001","Luxembourg","Number","Violent crime","1,689",""
"2001","Luxembourg","Number","Robbery","257",""
"2001","Luxembourg","Number","Domestic burglary","1,947",""
"2001","Luxembourg","Number","Motor vehicle theft","496",""
"2001","Luxembourg","Number","Drug trafficking","1,077",""
"2001","Hungary","Number","Total","465,694",""
"2001","Hungary","Number","Homicide","254",""
"2001","Hungary","Number","Violent crime","30,820",""
"2001","Hungary","Number","Robbery","3,319",""
"2001","Hungary","Number","Domestic burglary","26,194",""
"2001","Hungary","Number","Motor vehicle theft","12,585",""
"2001","Hungary","Number","Drug trafficking","4,332",""
"2001","Malta","Number","Total","15,929",""
"2001","Malta","Number","Homicide","5",""
"2001","Malta","Number","Violent crime",":",""
"2001","Malta","Number","Robbery","160",""
"2001","Malta","Number","Domestic burglary","618",""
"2001","Malta","Number","Motor vehicle theft","848",""
"2001","Malta","Number","Drug trafficking",":",""
"2001","Netherlands","Number","Total","1,379,454",""
"2001","Netherlands","Number","Homicide","202",""
"2001","Netherlands","Number","Violent crime","101,320",""
"2001","Netherlands","Number","Robbery","21,174",""
"2001","Netherlands","Number","Domestic burglary","90,284",""
"2001","Netherlands","Number","Motor vehicle theft","43,068",""
"2001","Netherlands","Number","Drug trafficking","10,380",""
"2001","Austria","Number","Total","522,710",""
"2001","Austria","Number","Homicide","70",""
"2001","Austria","Number","Violent crime","34,383",""
"2001","Austria","Number","Robbery","2,824",""
"2001","Austria","Number","Domestic burglary","13,008",""
"2001","Austria","Number","Motor vehicle theft","5,740",""
"2001","Austria","Number","Drug trafficking","2,399",""
"2001","Poland","Number","Total","1,390,089",""
"2001","Poland","Number","Homicide","776",""
"2001","Poland","Number","Violent crime","76,235",""
"2001","Poland","Number","Robbery","41,208",""
"2001","Poland","Number","Domestic burglary","72,167",""
"2001","Poland","Number","Motor vehicle theft","59,458",""
"2001","Poland","Number","Drug trafficking","2,219",""
"2001","Portugal","Number","Total","372,170",""
"2001","Portugal","Number","Homicide","105",""
"2001","Portugal","Number","Violent crime","21,554",""
"2001","Portugal","Number","Robbery","18,585",""
"2001","Portugal","Number","Domestic burglary","20,806",""
"2001","Portugal","Number","Motor vehicle theft","26,162",""
"2001","Portugal","Number","Drug trafficking","3,853",""
"2001","Romania","Number","Total","340,414",""
"2001","Romania","Number","Homicide","597",""
"2001","Romania","Number","Violent crime","7,943",""
"2001","Romania","Number","Robbery","3,467",""
"2001","Romania","Number","Domestic burglary","17,551",""
"2001","Romania","Number","Motor vehicle theft","1,952",""
"2001","Romania","Number","Drug trafficking","658",""
"2001","Slovenia","Number","Total","74,794",""
"2001","Slovenia","Number","Homicide","15",""
"2001","Slovenia","Number","Violent crime","2,807",""
"2001","Slovenia","Number","Robbery","503",""
"2001","Slovenia","Number","Domestic burglary","2,522",""
"2001","Slovenia","Number","Motor vehicle theft","691",""
"2001","Slovenia","Number","Drug trafficking","1,140",""
"2001","Slovakia","Number","Total","93,053",""
"2001","Slovakia","Number","Homicide","129",""
"2001","Slovakia","Number","Violent crime","14,450",""
"2001","Slovakia","Number","Robbery","1,366",""
"2001","Slovakia","Number","Domestic burglary","3,144",""
"2001","Slovakia","Number","Motor vehicle theft","5,344",""
"2001","Slovakia","Number","Drug trafficking","652",""
"2001","Finland","Number","Total","430,343",""
"2001","Finland","Number","Homicide","156",""
"2001","Finland","Number","Violent crime","33,355",""
"2001","Finland","Number","Robbery","2,157",""
"2001","Finland","Number","Domestic burglary","7,957",""
"2001","Finland","Number","Motor vehicle theft","22,583",""
"2001","Finland","Number","Drug trafficking","14,869",""
"2001","Sweden","Number","Total","1,189,393",""
"2001","Sweden","Number","Homicide","84",""
"2001","Sweden","Number","Violent crime","78,407",""
"2001","Sweden","Number","Robbery","8,538",""
"2001","Sweden","Number","Domestic burglary","15,169",""
"2001","Sweden","Number","Motor vehicle theft","73,309",""
"2001","Sweden","Number","Drug trafficking","5,086",""
"2001","England and Wales","Number","Total","5,521,825",""
"2001","England and Wales","Number","Homicide","891",""
"2001","England and Wales","Number","Violent crime","813,121",""
"2001","England and Wales","Number","Robbery","121,359",""
"2001","England and Wales","Number","Domestic burglary","430,347",""
"2001","England and Wales","Number","Motor vehicle theft","328,115",""
"2001","England and Wales","Number","Drug trafficking","19,686",""
"2001","Scotland","Number","Total","421,093",""
"2001","Scotland","Number","Homicide","111",""
"2001","Scotland","Number","Violent crime","27,085",""
"2001","Scotland","Number","Robbery","4,228",""
"2001","Scotland","Number","Domestic burglary","30,181",""
"2001","Scotland","Number","Motor vehicle theft","23,208",""
"2001","Scotland","Number","Drug trafficking","10,293",""
"2001","Northern Ireland (UK)","Number","Total","139,786",""
"2001","Northern Ireland (UK)","Number","Homicide","52",""
"2001","Northern Ireland (UK)","Number","Violent crime","30,038",""
"2001","Northern Ireland (UK)","Number","Robbery","2,222",""
"2001","Northern Ireland (UK)","Number","Domestic burglary","9,071",""
"2001","Northern Ireland (UK)","Number","Motor vehicle theft","11,635",""
"2001","Northern Ireland (UK)","Number","Drug trafficking","210",""
"2001","Iceland","Number","Total","18,547",""
"2001","Iceland","Number","Homicide","1",""
"2001","Iceland","Number","Violent crime",":",""
"2001","Iceland","Number","Robbery","39",""
"2001","Iceland","Number","Domestic burglary","2,857",""
"2001","Iceland","Number","Motor vehicle theft",":",""
"2001","Iceland","Number","Drug trafficking","117",""
"2001","Liechtenstein","Number","Total","1,086",""
"2001","Liechtenstein","Number","Homicide","0",""
"2001","Liechtenstein","Number","Violent crime","85",""
"2001","Liechtenstein","Number","Robbery","1",""
"2001","Liechtenstein","Number","Domestic burglary","72",""
"2001","Liechtenstein","Number","Motor vehicle theft","8",""
"2001","Liechtenstein","Number","Drug trafficking","387",""
"2001","Norway","Number","Total","299,714",""
"2001","Norway","Number","Homicide","37",""
"2001","Norway","Number","Violent crime","19,217",""
"2001","Norway","Number","Robbery","1,392",""
"2001","Norway","Number","Domestic burglary","9,641",""
"2001","Norway","Number","Motor vehicle theft","18,833",""
"2001","Norway","Number","Drug trafficking","19,945",""
"2001","Switzerland","Number","Total","321,713",""
"2001","Switzerland","Number","Homicide","86",""
"2001","Switzerland","Number","Violent crime","8,653",""
"2001","Switzerland","Number","Robbery","3,822",""
"2001","Switzerland","Number","Domestic burglary","57,375",""
"2001","Switzerland","Number","Motor vehicle theft",":",""
"2001","Switzerland","Number","Drug trafficking","7,416",""
"2001","Montenegro","Number","Total","8,463",""
"2001","Montenegro","Number","Homicide",":",""
"2001","Montenegro","Number","Violent crime",":",""
"2001","Montenegro","Number","Robbery",":",""
"2001","Montenegro","Number","Domestic burglary",":",""
"2001","Montenegro","Number","Motor vehicle theft",":",""
"2001","Montenegro","Number","Drug trafficking",":",""
"2001","Former Yugoslav Republic of Macedonia, the","Number","Total","17,139",""
"2001","Former Yugoslav Republic of Macedonia, the","Number","Homicide","55",""
"2001","Former Yugoslav Republic of Macedonia, the","Number","Violent crime","493",""
"2001","Former Yugoslav Republic of Macedonia, the","Number","Robbery","266",""
"2001","Former Yugoslav Republic of Macedonia, the","Number","Domestic burglary","1,036",""
"2001","Former Yugoslav Republic of Macedonia, the","Number","Motor vehicle theft","511",""
"2001","Former Yugoslav Republic of Macedonia, the","Number","Drug trafficking","335",""
"2001","Serbia","Number","Total","121,672",""
"2001","Serbia","Number","Homicide","243",""
"2001","Serbia","Number","Violent crime","43,569",""
"2001","Serbia","Number","Robbery","39,627",""
"2001","Serbia","Number","Domestic burglary","11,906",""
"2001","Serbia","Number","Motor vehicle theft","6,796",""
"2001","Serbia","Number","Drug trafficking","1,082",""
"2001","Turkey","Number","Total","400,337",""
"2001","Turkey","Number","Homicide","5,527",""
"2001","Turkey","Number","Violent crime","87,325",""
"2001","Turkey","Number","Robbery","3,109",""
"2001","Turkey","Number","Domestic burglary","28,877",""
"2001","Turkey","Number","Motor vehicle theft","20,565",""
"2001","Turkey","Number","Drug trafficking","4,312",""
"2001","Albania","Number","Total",":",""
"2001","Albania","Number","Homicide",":",""
"2001","Albania","Number","Violent crime",":",""
"2001","Albania","Number","Robbery",":",""
"2001","Albania","Number","Domestic burglary",":",""
"2001","Albania","Number","Motor vehicle theft",":",""
"2001","Albania","Number","Drug trafficking",":",""
"2001","Bosnia and Herzegovina","Number","Total",":",""
"2001","Bosnia and Herzegovina","Number","Homicide",":",""
"2001","Bosnia and Herzegovina","Number","Violent crime",":",""
"2001","Bosnia and Herzegovina","Number","Robbery",":",""
"2001","Bosnia and Herzegovina","Number","Domestic burglary",":",""
"2001","Bosnia and Herzegovina","Number","Motor vehicle theft",":",""
"2001","Bosnia and Herzegovina","Number","Drug trafficking",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Number","Total",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Number","Homicide",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Number","Violent crime",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Number","Robbery",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Number","Domestic burglary",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Number","Motor vehicle theft",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Number","Drug trafficking",":",""
"2001","Russia","Number","Total","2,968,255",""
"2001","Russia","Number","Homicide","33,583",""
"2001","Russia","Number","Violent crime","97,954",""
"2001","Russia","Number","Robbery","193,600",""
"2001","Russia","Number","Domestic burglary","350,259",""
"2001","Russia","Number","Motor vehicle theft","54,163",""
"2001","Russia","Number","Drug trafficking","231,592",""
"2001","South Africa","Number","Total","2,608,722",""
"2001","South Africa","Number","Homicide","21,405",""
"2001","South Africa","Number","Violent crime",":",""
"2001","South Africa","Number","Robbery","206,941",""
"2001","South Africa","Number","Domestic burglary","302,657",""
"2001","South Africa","Number","Motor vehicle theft","96,859",""
"2001","South Africa","Number","Drug trafficking","52,900",""
"2001","Canada","Number","Total","2,374,811",""
"2001","Canada","Number","Homicide","553",""
"2001","Canada","Number","Violent crime","305,186",""
"2001","Canada","Number","Robbery",":",""
"2001","Canada","Number","Domestic burglary","166,500",""
"2001","Canada","Number","Motor vehicle theft","168,595",""
"2001","Canada","Number","Drug trafficking","89,395",""
"2001","United States","Number","Total","11,876,669",""
"2001","United States","Number","Homicide","16,037",""
"2001","United States","Number","Violent crime","1,439,480",""
"2001","United States","Number","Robbery","423,577",""
"2001","United States","Number","Domestic burglary","2,116,531",""
"2001","United States","Number","Motor vehicle theft","1,228,391",""
"2001","United States","Number","Drug trafficking","34,471",""
"2001","Japan","Number","Total","2,735,612",""
"2001","Japan","Number","Homicide","1,340",""
"2001","Japan","Number","Violent crime","72,801",""
"2001","Japan","Number","Robbery","6,393",""
"2001","Japan","Number","Domestic burglary","303,698",""
"2001","Japan","Number","Motor vehicle theft","305,792",""
"2001","Japan","Number","Drug trafficking","2,867",""
"2001","Australia","Number","Total","1,304,567",""
"2001","Australia","Number","Homicide","347",""
"2001","Australia","Number","Violent crime","28,782",""
"2001","Australia","Number","Robbery","26,591",""
"2001","Australia","Number","Domestic burglary","277,158",""
"2001","Australia","Number","Motor vehicle theft","139,894",""
"2001","Australia","Number","Drug trafficking","12,697",""
"2001","New Zealand","Number","Total","426,526",""
"2001","New Zealand","Number","Homicide","51",""
"2001","New Zealand","Number","Violent crime","47,133",""
"2001","New Zealand","Number","Robbery","1,658",""
"2001","New Zealand","Number","Domestic burglary","36,255",""
"2001","New Zealand","Number","Motor vehicle theft","21,059",""
"2001","New Zealand","Number","Drug trafficking","2,734",""
"2002","Belgium","Number","Total","992,264",""
"2002","Belgium","Number","Homicide","319",""
"2002","Belgium","Number","Violent crime","107,752",""
"2002","Belgium","Number","Robbery","30,250",""
"2002","Belgium","Number","Domestic burglary","79,160",""
"2002","Belgium","Number","Motor vehicle theft","45,193",""
"2002","Belgium","Number","Drug trafficking","9,447",""
"2002","Bulgaria","Number","Total","146,929",""
"2002","Bulgaria","Number","Homicide","255",""
"2002","Bulgaria","Number","Violent crime","12,176",""
"2002","Bulgaria","Number","Robbery","4,665",""
"2002","Bulgaria","Number","Domestic burglary","31,639",""
"2002","Bulgaria","Number","Motor vehicle theft","2,196",""
