,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Definition: “Robbery” means the theft of property from a person; overcoming resistance by force or threat of force. Where possible, the category “Robbery” should include muggings (bag-snatching) and theft with violence; but should exclude pick pocketing and extortion.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,"Rate per 100,000 population",,,,,,,,
Region,Sub-region I,Sub-region II,Sub-region II,Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2011
Africa,,Eastern Africa,Eastern Africa,Burundi,,,,,,50.5,51.8,36.3,49.7
Africa,,Eastern Africa,,Kenya,,23.0,19.5,14.3,9.3,8.8,7.4,7.0,7.8
Africa,,Eastern Africa,,Mauritius,69.3,84.1,107.4,96.1,128.0,112.2,109.2,83.5,62.3
Africa,,Eastern Africa,,Mozambique,,37.2,32.9,26.0,27.5,25.7,23.0,,
Africa,,Eastern Africa,,Uganda,14.7,17.9,25.7,27.8,18.7,13.6,23.2,17.9,
Africa,,Eastern Africa,,Zimbabwe,111.2,100.5,88.7,93.0,74.3,70.6,,,
Africa,,Middle Africa,Middle Africa,Sao Tome and Principe,,,,0.0,0.0,0.0,0.0,0.6,0.6
Africa,,Northern Africa,Northern Africa,Algeria,,,76.5,63.9,60.5,58.2,54.8,52.1,53.1
Africa,,Northern Africa,,Egypt,0.5,0.6,0.6,0.7,0.8,1.0,0.9,0.9,3.2
Africa,,Northern Africa,,Morocco,54.7,50.9,49.4,70.8,72.2,74.3,82.0,,
Africa,,Northern Africa,,Sudan,,,,,,7.3,,,
Africa,,Southern Africa,Southern Africa,Botswana,,,,,,,151.6,119.7,121.2
Africa,,Southern Africa,,Lesotho,,,,,47.2,50.8,59.1,,
Africa,,Southern Africa,,Swaziland,250.1,309.6,,,,,,,
Africa,,Western Africa,Western Africa,Cote d'Ivoire,,,,,3.6,3.1,,,
Africa,,Western Africa,,Guinea,,,,,1.6,,,,
Africa,,Western Africa,,Senegal,,,25.2,23.3,13.8,22.9,21.5,20.1,
Africa,,Western Africa,,Sierra Leone,,,,,3.0,3.3,,,
Americas,Northern America,    ,Northern America,Bermuda,,,,,,,,,
Americas,Northern America,    ,    ,Canada,101.5,97.0,100.5,106.2,103.7,97.1,96.4,89.6,86.6
Americas,Northern America,    ,    ,United States of America,142.2,136.5,140.6,150.0,148.0,145.4,132.8,118.9,113.2
Americas,Latin America and the Caribbean     ,Caribbean,Caribbean,Bahamas,,,,,,,93.4,98.0,106.3
Americas,Latin America and the Caribbean     ,Caribbean,,Barbados,,,,,,,140.4,,
Americas,Latin America and the Caribbean     ,Caribbean,,Dominican Republic,,,566.3,572.7,,,,,
Americas,Latin America and the Caribbean     ,Caribbean,,Grenada,,,43.8,48.5,58.0,41.5,41.3,68.0,
Americas,Latin America and the Caribbean     ,Caribbean,,Jamaica,,,,74.5,59.1,97.8,110.7,104.1,140.9
Americas,Latin America and the Caribbean     ,Caribbean,,Saint Kitts and Nevis,,,,,,,,,
