"iso3.numeric","region","subregion"
28,19,29
12,2,15
31,142,145
8,150,39
51,142,145
24,2,17
16,9,61
32,19,5
36,9,53
48,142,145
52,19,29
60,19,21
44,19,29
50,142,34
84,19,13
70,150,39
68,19,5
104,142,35
204,2,11
90,9,54
76,19,5
100,150,151
96,142,35
124,19,21
116,142,35
144,142,34
178,2,17
180,2,17
108,2,14
156,142,30
4,142,34
64,142,34
152,19,5
136,19,29
120,2,17
148,2,17
174,2,14
170,19,5
188,19,13
140,2,17
192,19,29
132,2,11
184,9,61
196,142,145
208,150,154
262,2,14
212,19,29
214,19,29
218,19,5
818,2,15
372,150,154
226,2,17
233,150,154
232,2,14
222,19,13
231,2,14
40,150,155
203,150,151
254,19,5
246,150,154
242,9,54
238,19,5
583,9,57
258,9,61
250,150,155
270,2,11
266,2,17
268,142,145
288,2,11
308,19,29
304,19,21
276,150,155
316,9,57
300,150,39
320,19,13
324,2,11
328,19,5
332,19,29
340,19,13
191,150,39
348,150,151
352,150,154
356,142,34
364,142,34
376,142,145
380,150,39
384,2,11
368,142,145
392,142,30
388,19,29
400,142,145
404,2,14
417,142,143
408,142,30
296,9,57
410,142,30
414,142,145
398,142,143
418,142,35
422,142,145
428,150,154
112,150,151
440,150,154
430,2,11
703,150,151
438,150,155
434,2,15
450,2,14
474,19,29
496,142,30
500,19,29
807,150,39
466,2,11
504,2,15
480,2,14
478,2,11
470,150,39
512,142,145
462,142,34
484,19,13
458,142,35
508,2,14
454,2,14
540,9,54
570,9,61
562,2,11
533,19,29
660,19,29
56,150,155
344,142,30
580,9,57
234,150,154
20,150,39
292,150,39
833,150,154
442,150,155
446,142,30
492,150,155
275,142,145
499,150,39
175,2,14
248,150,154
574,9,53
166,0,0
10,0,0
74,0,0
260,0,0
334,0,0
86,0,0
162,0,0
581,0,0
548,9,54
566,2,11
528,150,155
578,150,154
524,142,34
520,9,57
740,19,5
558,19,13
554,9,53
600,19,5
604,19,5
586,142,34
616,150,151
591,19,13
620,150,39
598,9,54
624,2,11
634,142,145
638,2,14
642,150,151
498,150,151
608,142,35
630,19,29
643,150,151
646,2,14
682,142,145
659,19,29
690,2,14
710,2,18
426,2,18
72,2,18
686,2,11
705,150,39
694,2,11
702,142,35
706,2,14
724,150,39
662,19,29
736,2,15
752,150,154
760,142,145
756,150,155
780,19,29
764,142,35
762,142,143
772,9,61
776,9,61
768,2,11
678,2,17
788,2,15
792,142,145
798,9,61
795,142,143
834,2,14
800,2,14
826,150,154
804,150,151
840,19,21
854,2,11
858,19,5
860,142,143
670,19,29
862,19,5
92,19,29
704,142,35
850,19,29
516,2,18
876,9,61
882,9,61
748,2,18
887,142,145
894,2,14
716,2,14
360,142,35
312,19,29
530,19,29
784,142,145
626,142,35
612,9,61
585,9,57
584,9,57
666,19,21
654,2,11
674,150,39
796,19,29
732,2,15
688,150,39
336,150,39
744,150,154
663,19,29
652,19,29
831,150,154
832,150,154
239,0,0
158,0,0
